numero_inpi,data_deposito,titulo,resumo,instituicoes
102022017290,2022-08-29,SÍNTESE DE ÁLQUIL-ÉSTERES ATRAVÉS DO USO DO FORNO SOLAR COM CONTROLE DE TEMPERATURA COM TECNOLOGIA DE BAIXO CUSTO,"SÍNTESE DE ÁLQUIL-ÉSTERES ATRAVÉS DO USO DO FORNO SOLAR COM CONTROLE DE TEMPERATURA COM TECNOLOGIA DE BAIXO CUSTO. Este trabalho visa à síntese de éster-etílico utilizando um fogão solar de baixo custo tipo caixa com temperatura controlada por arduino. Foi realizado teste do sistema de controle de temperatura, experimentos de síntese em diferentes condições de uso do forno e teste do combustível sintetizado em gerador a diesel. O sistema de controle de temperatura manteve a temperatura na faixa do setpoint (60.0 ± 3.0 °C). Os testes no gerador a diesel demonstraram que o combustível é de qualidade e que há uma redução de até 27,96 % na redução do gás carbônico, quando utilizada uma mistura de 10% de éster-etílico e 90% de diesel S500, ao comparar com 100% de diesel S500. Os resultados demonstraram que o forno solar de baixo custo é uma tecnologia inovadora que pode ser utilizada como tecnologia para a síntese de éster etílico.","INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SERGIPE"
102024002339,2024-02-05,MESA RECORTADA COM PLANO INCLINADO REGULÁVEL PARA CADEIRA DE RODAS,"MESA RECORTADA COM PLANO INCLINADO REGULÁVEL PARA CADEIRA DE RODAS. A Mesa recortada com plano inclinado regulável para cadeira de rodas é uma invenção do setor técnico Tecnologia Assistiva, pois é um dispositivo que visa assistir usuários que utilizam cadeiras de rodas a realizar atividades, especialmente escolares. Projetada principalmente para sujeitos que não têm ou têm pouco controle da cabeça, uma vez quando a fletem para realizar suas atividades em mesas convencionais, possuem dificuldade para retificá-la. Como também para o atender a demanda de baixa visão, visto que a inclinação aproxima a tarefa ao campo de visão. O produto é composto por 5 partes, a saber: plano fixo; plano móvel articulação, fixadores e prendedor de papel. O plano fixo foi desenvolvido para se fixar à cadeira de rodas e possui um recorte em forma de semi-esfera. O plano móvel foi elaborado para o usuário realizar atividades com o material posicionado no plano horizontal ou inclinado em vários ângulos. A articulação está posicionada nas laterais, possuindo no interior dentes duplos que se encaixam em 7 posições, proporcionando inclinações ao plano móvel. Os fixadores que prendem a mesa na cadeira de rodas e o prendedor de papel. Para criação do produto ocorreu a reunião de saberes da Terapia Ocupacional, Design e Engenharia Mecânica, fez-se pesquisas de patente e de mercado, havendo também a participação de crianças com deficiência motora como centro do processo de desenvolvimento. Como inovação, o produto apresenta um sistema com 7 possibilidades de regulagens a cada 17 angulares, bem como a conciliação de diversas funções em um único dispositivo.","INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE PERNAMBUCO"
102024015953,2024-08-05,"POLOXAMER-407 QUIMICAMENTE CONJUGADO AO ÁCIDO FERÚLICO PARA ENCAPSULAMENTO E ESTABILIZAÇÃO DE ATIVOS SENSÍVEIS À OXIDAÇÃO, PROCESSO DE OBTENÇÃO E USO","POLOXAMER-407 QUIMICAMENTE CONJUGADO AO ÁCIDO FERÚLICO PARA ENCAPSULAMENTO E ESTABILIZAÇÃO DE ATIVOS SENSÍVEIS À OXIDAÇÃO, PROCESSO DE OBTENÇÃO E USO. A presente invenção trata-se do processo de modificação química do polímero Poloxamer (Marca Registrada) 407 (PLX) com a conjugação covalente do ácido ferúlico (FcA) às extremidades dos monômeros do PLX. O polímero modificado resultante, PLX-FcA, apresentou maior estabilidade térmica que o PLX e, por meio de testes de degradação acelerada, apresentou maior resistência ao calor e à umidade, o que indica maior tempo de prateleira comparado ao PLX. A presença do ácido ferúlico na estrutura do polímero modificado conferiu atividade antioxidante ao PLX-FcA, possibilitando que o polímero modificado seja capaz de estabilizar de forma mais efetiva ativos sensíveis à oxidação. O PLX-FcA demonstrou capacidade de formar micelas nanométricas como o PLX. Devido à capacidade de formar micelas, atividade antioxidante, maior estabilidade térmica e maior tempo de prateleira, o polímero modificado da presente invenção pode ser aplicado para encapsulamento de ativos sensíveis à oxidação no preparo de produtos farmacológicos e/ou cosméticos. Essa invenção também se refere ao processo de obtenção desse polímero modificado (PLX-FcA).",CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MINAS GERAIS
102025011660,2025-06-09,,,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO CEARA"
202024021375,2024-10-15,COMEDOURO MULTISABORES EM CARROSEL PARA GATOS,"COMEDOURO MULTISABORES EM CARROSEL PARA GATOS. O Comedouro Multisabores em Carrossel para Gatos consiste em um dispositivo destinado à alimentação de gatos domésticos. Ele é composto por quatro compartimentos rotativos, cada um com capacidade para armazenar um tipo diferente de ração. O mecanismo de rotação, acionado pelas próprias patas do gato, permite que o animal selecione autonomamente o sabor desejado, promovendo uma alimentação mais variada e equilibrada. O sistema de rotação é projetado para oferecer uma experiência interativa e estimulante para o gato, ao mesmo tempo que otimiza o espaço e simplifica o abastecimento de ração para o proprietário. O produto é feito com materiais duráveis e de fácil limpeza, além de contar com uma base antiderrapante para garantir estabilidade durante o uso. Esse modelo resolve as limitações dos comedouros tradicionais ao permitir uma alimentação diversificada sem a necessidade de múltiplos recipientes, proporcionando maior bem-estar aos felinos.","INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO PIAUI"
202024021376,2024-10-15,,,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO PIAUI"
102024002926,2024-02-15,PRÉ-MISTURA DE FARINÁCEO A BASE DE FEIJÃO-DE-CORDA (VIGNA UNGUICULATA L. WALP) E FARINHA DE MANDIOCA (MANIHOT ESCULENTA CRANTZ) PARA PREPARO DO CAPITÃO DE FEIJÃO,"PRÉ-MISTURA DE FARINÁCEO A BASE DE FEIJÃO-DE-CORDA (Vigna unguiculata L. Walp) E FARINHA DE MANDIOCA (Manihot esculenta Crantz) PARA PREPARO DO CAPITÃO DE FEIJÃO. Pré-mistura de farináceo a base de feijão-de-corda (vigna unguiculata l. walp) e farinha de mandioca (manihot esculenta crantz) para preparo do capitão de feijão, a presente invenção foi desenvolvida pensando na alimentação afetiva e emocional para a construção da preparação denominada ´bolinho capitão de feijão´. Esta invenção é um farináceo à base de feijão de corda (Vigna unguiculata L. Walp) e farinha de mandioca (Manihot esculenta Crantz) e sal. Esta pré-mistura pode ser adicionada de outros vegetais para fornecer diferentes sabores. A inovação parte de um produto de fácil acesso e capaz de pluralizar o mercado, desde o consumo doméstico a utilização de preparos em restaurantes.","INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO CEARA"
102025009728,2025-05-15,,,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO CEARA"
102026004444,2026-02-25,,,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO CEARA"
102026005009,2026-03-03,,,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO CEARA"
102012008335,2012-03-16,,,"IFRN - INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO RN"
202026006052,2026-03-13,,,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DA BAHIA - IFBA"
102015019071,2015-08-10,PROCESSO DE FABRICAÇÃO DE CENTRALIZADOR POR CALANDRAGEM,"PROCESSO DE FRABRICAÇÃO DE CENTRALIZADOR CALANDRAGEM. A presente invenção tem por objetivo apresentar um processo de fabricação de centralizador de tubos por conformação para a indústria de petróleo e gás, mais particularmente um processo que engloba a conformação antes do corte dos ranges com o objetivo de evitar a nucleação de microtrincas. Uma das vantagens do processo é sua flexibilidade, que permite que algumas de suas etapas sejam feitas por processos diferentes. O problema de nucleação de trincas é solucionado realizando a conformação antes do corte dos ranges e aplicando tratamento térmico posterior para garantir as propriedades necessárias ao material.",INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO ESPIRITO SANTO
102017002361,2017-02-06,PROCESSO DE FABRICAÇÃO DE EMBUTIDO CÁRNEO À BASE DE CRUSTÁCEO DO TIPO ARATU VERMELHO (GONIOPSIS CRUENTATA) E O PRODUTO EMBUTIDO DE ARATU VERMELHO (GONIOPSIS CRUENTATA),"A presente invenção refere-se ao processo de fabricação de embutido cárneo frescal à base de carne de crustáceo de  caranguejo Aratu vermelho ( Goniopsis cruentata), o qual não é ainda explorado comercialmente, para que os mesmos possam ser produzidos em diferentes escalas industriais e explorados comercialmente. Trata-se de um produto natural,  sem a utilização de conservantes,  com a utilização de proteína de soja como matéria-prima a fim de diminuir o custo do produto, bem como a utilização da gordura suína pastosa e goma xantana para melhorar a consistência do produto, facilitando o embutimento e, ainda,  melhorar as características de sabor e textura do embutido, tornando-o  bastante atrativo para a indústria alimentícia e para o consumidor final.A invenção compreende um  processo de fabricação de embutido de pescado utilizando a carne do caranguejo Aratu vermelho (Goniopsis cruentata), com a adição de proteína de soja, gordura suína, sal, goma xantana,  alho em pó, pimenta calabresa em pó, páprica defumada em pó, mix de alho, cebola e salsa desidratado  e água gelada, a fim de obter uma massa homogênea, que após descanso será embutida em tripa natural. Posteriormente será embalada em bandejas de isopor e filmes plásticos e refrigerada ou congelada até o consumo.","INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SERGIPE"
102019028103,2019-12-27,"SENSOR TERMOCRÔMICO POLIMÉRICO SÓLIDO IRREVERSÍVEL BASEADO EM POLIDIACETILENO, PROCESSO E USOS","SENSOR TERMOCRÔMICO POLIMÉRICO SÓLIDO IRREVERSÍVEL BASEADO EM POLIDIACETILENO, PROCESSO E USOS .   A presente tecnologia se refere a um sensor termocrômico sólido e irreversível baseado em polidiacetileno suportado em matrizes poliméricas. O sensor é baseado na mudança de coloração dos polidiacetilenos de azul para vermelho, induzida pelo aumento da temperatura. O método de síntese e obtenção dos polidiacetilenos em matriz polimérica adequada permite o controle da temperatura de transição em estado sólido. A presente tecnologia é destinada ao sensoriamento térmico e fiscalização do armazenamento de produtos de diversos setores industriais, tais como o químico, farmacêutico e alimentício.","CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MINAS GERAIS - CEFET/MG|INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE MINAS GERAIS ? IFMG"
102012019949,2012-08-09,PROCESSO DE UTILIZAÇÃO DE RESÍDUO DE MÁRMORE NA FABRICAÇÃO DE PELOTAS SIDERÚRGICAS,"PROCESSO DE UTILIZAÇÃO DE RESÍDUO DE MÁRMORE NA FABRICAÇÃO DE PELOTAS SIDERÚRGICAS. O presente pedido de patenterefere-se ao processo de utilização de resíduos de mármore gerados no processo de desdobramento dos blocos nos teares, também chamado de serragem ou corte dos blocos, na fabricação de pelotas a serem usadas na fabricação de ferro-gusa em altos-fornos. A utilização do resíduo de mármore representa uma diminuição nos custos de produção nos processo de fabricação de pelotas de ferro-gusa. A presente invenção apresenta um resultado tão relevante à importância financeira, quanto à importância ambiental, pois é uma alternativa para substituição do calcário na produção de pelotas de interesse siderúrgico, objetivando a diminuição da extração de calcário, no estado do Espírito Santo, e, consequentemente, a preservação do meio ambiente.","INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO ESPIRITO SANTO - IFES"
102021002433,2021-02-09,PROCESSO DE ELABORAÇÃO DE MINUTAS DE DOCUMENTOS JURÍDICOS,"PROCESSO DE ELABORAÇÃO DE MINUTAS DE DOCUMENTOS JURÍDICOS. A presente patente de invenção propõe um processo prático e didático de elaboração de minutas de documentos jurídicos, implementado por meio programa de computador, que disponibiliza informações sobre o preenchimento, com foco nos termos jurídicos necessários para a compreensão e escolha do texto a ser preenchido pelos usuários, resultando em documentos que são acessados tanto pelos usuários comuns, responsáveis pelo preenchimento, como pelos usuários administradores, que podem acompanhar os processos de elaboração e obter relatórios contendo dados estatísticos acerca dos tipos de documentos, instituições e pessoas envolvidas, entre outros. Ademais assegura às Partes que não serão alteradas cláusulas fixas e nem removidas ou incorretamente preenchidas cláusulas consideradas essenciais para os respectivos tipos de documentos.",INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO SERTAO PERNAMBUCANO
102023006882,2023-04-13,PRODUÇÃO DA PROTEÍNA RECOMBINANTE PR55GAG PARA SER UTILIZADA COMO ANTÍGENO NO DIAGNÓSTICO SOROLÓGICO DA ANEMIA INFECCIOSA EQUINA,"PRODUÇÃO DA PROTEÍNA RECOMBINANTE PR55GAG PARA SER UTILIZADA COMO ANTÍGENO NO DIAGNÓSTICO SOROLÓGICO DA ANEMIA INFECCIOSA EQUINA. A presente invenção trata da produção da proteína recombinante Pr55gag do vírus da Anemia Infecciosa Equina (AIE) para ser empregada como antígeno em métodos diagnósticos, com aplicação na área da virologia veterinária, especificamente no diagnóstico sorológico da doença em equídeos. No método descrito o gene parcial gag foi inserido no plasmídeo pet-TEV-28a (Fasbio), este foi utilizado para transformar células de Escherichia coli linhagem C41(DE3) (Lucigen) que expressaram a proteína Pr55gag recombinante após a indução com 1mM de IPTG, a 37°C durante 3 horas. A proteína foi purificada por coluna de afinidade com resina de histidina (Promega), dialisada em solução de PBS e concentrada por centrifugação com filtro VivaSpin de 30kda (GE). Ao utilizar a proteína recombinante como antígeno no western blotting, foi possível testar aproximadamente 160 amostras de soro equino. Esta invenção visa solucionar os problemas atuais do diagnóstico da AIE, aumentando a sensibilidade e evitando a necessidade de cultivo viral em células para a produção do antígeno que será utilizado no imunodiagnóstico.","INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA BAIANO"
102025010002,2025-05-19,,,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO CEARA"
102015013604,2015-06-10,APARELHO AUTOMÁTICO E PROCESSO PARA MEDIÇÃO DA COMPACTAÇÃO DO SOLO BASEADO NO CÁLCULO DO ÍNDICE DO CONE,"APARELHO AUTOMÁTICO E PROCESSO PARA MEDIÇÃO DACOMPACTAÇÃO DO sOLO BASEADO No CÁLCULO DO ÍNDICE DOCONE"".A presente invenção refere-se ao desenvolvimento de aparelho automático paramedição da compactação do solo através da resistência à penetração, utilizando O índicedo cone. Neste aparelho, O índice do cone e' medido por conjunto de sensoresdiretamente adaptado ao motor (4) que será utilizado para realizar a penetração da haste(3) no solo. Comumente este tipo de aferição é realizada por células de carga, enquanto,na presente invenção, o índice do cone é mensurado utilizando sensores de corrente,tensão e velocidade. Desta forma, consegue-se melhor precisão e controle sobre osparâmetros importantes da coleta de dados. A coleta de dados é georreferenciada eintegra sistema de movimentação autônoma. Os pontos de medições são indicados deacordo com a geometria da área a ser mapeada. Os dados adquiridos são armazenadosem Dataloger e posteriormente tratados em sistema que possibilite a análise e a geraçãode grá?cos tridimensionais (3D) relacionando a geometria do terreno com O valor dacompactação do solo.","INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE GOIAS "
102019004274,2019-03-01,EQUIPAMENTO E PROCESSO DE APLICAÇÃO DE PRODUTOS FITOSSANITÁRIOS COM EXPOSIÇÃO TOTAL DA FOLHA AO JATO APLICADOR,"Equipamento e processo de aplicação de produtos fitossanitários com exposição total da folha ao jato aplicador utilizando a vibração acústica de forma a obter a correta aplicação no sistema foliar. Através do movimento foliar, produzido pela vibração acústica, são obtidas melhorias como o desalojamento de parasitas que, geralmente, habitam na superfície inferior das folhas, redução na quantidade do produto fitossanitário aplicado no sistema foliar e maior aproveitamento do produto fitossanitário ao ser espalhado, devido o controle do fluxo de ar gerado.","INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE GOIAS"
202024006076,2024-03-27,CAIXA-SUPORTE PARA SMARTPHONES PARA OBTENÇÃO DE IMAGENS DE ALIMENTOS,"CAIXA-SUPORTE PARA SMARTPHONES PARA OBTENÇÃO DE IMAGENS DE ALIMENTOS. O presente modelo de utilidade idealiza uma caixa-suporte para smartphone utilizada para obtenção de imagens de alimentos, utilizando a câmera do mesmo, objetivando secundariamente a análise de cor RGB por meio das mesmas, procurando obter um ambiente que mostre com clareza por meio de uma iluminação e que não modifiquem as características colorimétricas da amostra analisada. A caixa-suporte para obtenção de imagens de alimentos para avaliação de cor através de smartphones é caracterizada por ser construída de material rígido, em um formato retangular que é composta por uma base e quatro lados, acoplada à uma tampa que contém no seu interior uma iluminação de LED´s brancos e frios e uma abertura retangular centralizada que dá acesso à imagem do objeto que se quer visualizar e serve como suporte para a câmera do smartphone. A tampa e a base unem-se através de uma dobradiça Fixtil DOB/09 Dobradiça Zincada, 1 x 3/4''.","INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO CEARA"
102026012757,2026-05-25,,,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO CEARA"
102020013995,2020-07-09,EQUIPAMENTO PARA AUXÍLIO NA MOVIMENTAÇÃO E TRANSPORTE DE PACIENTES COM MOBILIDADE REDUZIDA,"EQUIPAMENTO PARA AUXÍLIO NA MOVIMENTAÇÃO E TRANSPORTE DE PACIENTES COM MOBILIDADE REDUZIDA.A presente invenção trata-se de um equipamento que tem como objetivo auxiliar na movimentação e transporte de pacientes com mobilidade reduzida, diminuindo os esforços realizados pelos profissionais de saúde nesses procedimentos. O equipamento possui um mecanismo de elevação compreendido por um sistema do tipo pantográfico (6) para movimentação do paciente em diferentes alturas, sendo acionado por um atuador linear elétrico (12) ativado através de uma bateria (7). Acessórios para auxiliar na movimentação e transporte do paciente também fazem parte desta invenção, como a barra de rolamento lateral (9), roletes (17) com deslizamento, encostos reclináveis (1 e 3), apoio para pescoço (16) e grade de proteção para encosto intermediário e superior (22).","INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DA BAHIA - IFBA"
102025005228,2025-03-19,,,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO PIAUI"
